code,name,description,refreshed_at,from_date,to_date
1NOMY,1nomij (1NOMY),Stock Prices for 1nomij from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Amsterdam,2014-02-19 16:56:17,2014-02-14,2014-02-18
2778C,Essere Benessere (2778C),Stock Prices for Essere Benessere from the Euronext Stock Exchange. Currency: EUR. Market: ,2014-08-12 16:59:09,2014-08-11,2014-08-12
2CRSI,2crsi (2CRSI),Stock Prices for 2crsi from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:25,2018-06-22,2019-02-08
3INL,3i Infrastructure (3INL),Stock Prices for 3i Infrastructure from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:31:28,2013-08-12,2013-08-12
5938C,Steam France (5938C),Stock Prices for Steam France from the Euronext Stock Exchange. Currency: EUR. Market: ,2014-08-12 17:10:02,2014-08-08,2014-08-11
6VR,Vr Education Hold (6VR),Stock Prices for Vr Education Hold from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Dublin,2019-02-08 17:15:35,2019-01-31,2019-01-31
888L,888 Holdings (888L),Stock Prices for 888 Holdings from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:32:31,2013-08-30,2013-08-30
8GW,Great Western Min (8GW),Stock Prices for Great Western Min from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Dublin,2019-02-08 17:15:30,2019-01-30,2019-01-30
A2AM,A2a (A2AM),Stock Prices for A2a from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:36:37,2013-04-22,2013-04-22
A5G,Aib Group Plc (A5G),Stock Prices for Aib Group Plc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Dublin,2019-02-08 17:15:26,2019-02-01,2019-02-07
AAA,Ap Alternat Assets (AAA),Stock Prices for Ap Alternat Assets from the Euronext Stock Exchange. Currency: USD. Market: Euronext Amsterdam,2019-02-08 17:15:26,2014-02-14,2019-02-05
AALB,Aalberts Industr (AALB),Stock Prices for Aalberts Industr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-02-08 17:15:25,2014-02-14,2019-02-08
AALL,Anglo American (AALL),Stock Prices for Anglo American from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:33:18,2012-10-17,2012-10-17
AB,Ab Science (AB),Stock Prices for Ab Science from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:25,2014-02-14,2019-02-08
ABBNZ,Abb N (ABBNZ),Stock Prices for Abb N from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,2014-12-12 20:34:19,2013-08-29,2014-05-02
ABBV,Abbvie (ABBV),Stock Prices for Abbvie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2017-08-31 15:58:23,2013-11-29,2017-08-29
ABCA,Abc Arbitrage (ABCA),Stock Prices for Abc Arbitrage from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:25,2014-02-14,2019-02-08
ABCBS,Abcarbibsaa29jun18 (ABCBS),Stock Prices for Abcarbibsaa29jun18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Access Paris,2018-07-02 17:15:24,2017-05-05,2018-06-27
ABEDS,Abeo Ds (ABEDS),Stock Prices for Abeo Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-02-07 17:15:37,2018-01-29,2018-02-07
ABEE,Abertis Infraestr (ABEE),Stock Prices for Abertis Infraestr from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:29:48,2013-09-05,2013-09-05
ABEO,Abeo (ABEO),Stock Prices for Abeo from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2016-10-11,2019-02-08
ABFL,A B Foods (ABFL),Stock Prices for A B Foods from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:33:26,2013-11-26,2013-11-26
ABGE,Abengoa Cl A (ABGE),Stock Prices for Abengoa Cl A from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:31:27,2012-07-30,2012-07-30
ABGL,African Barrick Go (ABGL),Stock Prices for African Barrick Go from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:33:03,2013-08-19,2013-08-19
ABI,Ab Inbev (ABI),Stock Prices for Ab Inbev from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-02-08 17:15:25,2014-02-14,2019-02-08
ABIO,Albioma (ABIO),Stock Prices for Albioma from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ABIT,Ab Inbev (ABIT),Stock Prices for Ab Inbev from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2016-10-10 15:58:22,2016-10-10,2016-10-10
ABLX,Ablynx (ABLX),Stock Prices for Ablynx from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2018-06-12 17:17:04,2014-02-14,2018-06-12
ABN,Abn Amro Group (ABN),Stock Prices for Abn Amro Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-02-08 17:15:26,2015-11-20,2019-02-08
ABO,Abo Group (ABO),Stock Prices for Abo Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-02-08 17:15:26,2014-03-28,2019-02-06
ABOO,Abo Group (ABOO),Stock Prices for Abo Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2014-09-12 17:05:20,2014-09-11,2014-09-12
ABVX,Abivax (ABVX),Stock Prices for Abivax from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:25,2015-06-26,2019-02-08
AC,Accor (AC),Stock Prices for Accor from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ACA,Credit Agricole (ACA),Stock Prices for Credit Agricole from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:28,2014-02-14,2019-02-08
ACAM5,Credit Agrico Jun5 (ACAM5),Stock Prices for Credit Agrico Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-05-17 16:00:33,2014-06-13,2014-06-13
ACAN,Acanthe Dev (ACAN),Stock Prices for Acanthe Dev from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-07
ACAX5,Credit Agrico Nov5 (ACAX5),Stock Prices for Credit Agrico Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-10-18 15:58:27,2014-11-21,2014-11-21
ACCB,Accentis (ACCB),Stock Prices for Accentis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-02-08 17:15:26,2014-02-14,2019-02-08
ACCEL,Accell Group (ACCEL),Stock Prices for Accell Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-02-08 17:15:26,2014-02-14,2019-02-08
ACEM,Acea (ACEM),Stock Prices for Acea from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:34:17,2012-03-30,2012-03-30
ACKB,Ackermans V Haaren (ACKB),Stock Prices for Ackermans V Haaren from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-02-08 17:15:26,2014-02-14,2019-02-08
ACM5,Accor Jun5 (ACM5),Stock Prices for Accor Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-05-17 15:59:54,2014-06-13,2014-06-13
ACNV,Accor Nv18 (ACNV),Stock Prices for Accor Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-05-10 17:15:35,2014-01-23,2018-05-07
ACOMO,Amsterdam Commod (ACOMO),Stock Prices for Amsterdam Commod from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-02-08 17:15:26,2014-02-14,2019-02-08
ACPH,Acacia Pharma (ACPH),Stock Prices for Acacia Pharma from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-02-08 17:15:26,2018-03-05,2019-02-08
ACSE,Acs (ACSE),Stock Prices for Acs from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:32:09,2012-04-27,2012-04-27
ACTDS,Actiplay(groupe)ds (ACTDS),Stock Prices for Actiplay(groupe)ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2018-11-29 17:15:30,2018-11-15,2018-11-29
ACX5,Accor Nov5 (ACX5),Stock Prices for Accor Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-10-18 15:58:23,2014-11-19,2014-11-19
ACXE,Acerinox (ACXE),Stock Prices for Acerinox from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:33:18,2011-04-18,2011-04-18
AD,Ahold Del (AD),"Stock Prices for Ahold Del from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",2019-02-08 17:15:26,2016-07-25,2019-02-08
ADENZ,Adecco (ADENZ),Stock Prices for Adecco from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,2014-12-12 20:36:46,2014-02-17,2014-05-02
ADI,Audika Groupe (ADI),Stock Prices for Audika Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2015-12-24 15:58:22,2014-02-14,2015-12-23
ADML,Admiral Group (ADML),Stock Prices for Admiral Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:36:47,2014-01-23,2014-04-28
ADNL,Aberdeen Asset Mgt (ADNL),Stock Prices for Aberdeen Asset Mgt from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:29:22,2013-08-30,2013-08-30
ADOBS,Adomos Bsa2014 (ADOBS),Stock Prices for Adomos Bsa2014 from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2014-10-11 17:05:52,2014-04-10,2014-10-10
ADOC,Adocia (ADOC),Stock Prices for Adocia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ADP,Adp (ADP),Stock Prices for Adp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ADPM5,Adp Jun5 (ADPM5),Stock Prices for Adp Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-05-17 15:59:55,2014-06-05,2014-06-05
ADPX5,Adp Nov5 (ADPX5),Stock Prices for Adp Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-10-18 15:58:23,2014-11-07,2014-11-07
ADSD,Adidas (ADSD),Stock Prices for Adidas from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:31:05,2013-08-20,2013-08-20
ADUDS,Adux Ds (ADUDS),Stock Prices for Adux Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-11-13 17:15:28,2018-11-02,2018-11-13
ADUX,Adux (ADUX),Stock Prices for Adux from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2017-03-24,2019-02-08
ADV,Advenis (ADV),Stock Prices for Advenis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2015-07-31,2019-02-08
ADVDS,Advenis Ds (ADVDS),Stock Prices for Advenis Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-02-14 17:15:43,2018-02-02,2018-02-14
ADVI,Advini (ADVI),Stock Prices for Advini from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-07
ADVIC,Advicenne (ADVIC),Stock Prices for Advicenne from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2017-12-06,2019-02-08
ADYEN,Adyen (ADYEN),Stock Prices for Adyen from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-02-08 17:15:26,2018-06-13,2019-02-08
AED,Aedifica (AED),Stock Prices for Aedifica from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-02-08 17:15:26,2014-02-14,2019-02-08
AED16,Aedifica(sub)c16 (AED16),Stock Prices for Aedifica(sub)c16 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2017-03-23 15:58:24,2017-03-16,2017-03-22
AF,Air France -klm (AF),"Stock Prices for Air France -klm from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris, Amsterdam",2019-02-08 17:15:26,2014-02-14,2019-02-08
AFO,Afone Particip (AFO),Stock Prices for Afone Particip from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
AFRL,Afren (AFRL),Stock Prices for Afren from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:30:57,2013-08-23,2013-08-23
AFTNV,Saft Nv (AFTNV),Stock Prices for Saft Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2016-05-19 16:22:57,2016-05-13,2016-05-13
AGCR,Agricole Crau (AGCR),Stock Prices for Agricole Crau from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2016-03-03 15:58:25,2014-02-14,2016-03-02
AGFB,Agfa-gevaert (AGFB),Stock Prices for Agfa-gevaert from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-02-08 17:15:26,2014-02-14,2019-02-08
AGKL,Aggreko (AGKL),Stock Prices for Aggreko from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:32:34,2013-12-18,2013-12-18
AGLM,Autogrill (AGLM),Stock Prices for Autogrill from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:30:05,2013-04-16,2013-04-16
AGN,Aegon (AGN),Stock Prices for Aegon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-02-08 17:15:26,2014-02-14,2019-02-08
AGRDS,Agrogeneration Ds (AGRDS),Stock Prices for Agrogeneration Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2015-03-22 15:58:34,2015-03-10,2015-03-20
AGRNV,Agrogeneration Nv (AGRNV),Stock Prices for Agrogeneration Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2017-06-29 15:58:28,2016-04-22,2017-06-27
AGS,Ageas (AGS),Stock Prices for Ageas from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-02-08 17:15:26,2014-02-14,2019-02-08
AGTA,Agta Record (AGTA),Stock Prices for Agta Record from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
AH,Ahold Kon (AH),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2016-07-22 15:58:21,2014-02-14,2016-07-22
AHO,Ahold Kon (AHO),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Amsterdam,2014-03-30 16:58:09,2014-03-26,2014-03-28
AHT,Ahold Kon (AHT),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2016-07-15 15:58:25,2016-07-15,2016-07-15
AHTL,Ashtead Group (AHTL),Stock Prices for Ashtead Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:35:05,2013-08-21,2013-08-21
AI,Air Liquide (AI),Stock Prices for Air Liquide from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
AIBI,Allied Irish Banks (AIBI),Stock Prices for Allied Irish Banks from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:33:17,2010-12-22,2010-12-22
AIDS,Air Liquide Ds (AIDS),Stock Prices for Air Liquide Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2016-09-28 15:58:28,2016-09-14,2016-09-28
AIM5,Air Liquide Jun5 (AIM5),Stock Prices for Air Liquide Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-05-17 15:59:55,2014-05-29,2014-05-29
AIR,Airbus (AIR),Stock Prices for Airbus from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
AJAX,Ajax (AJAX),Stock Prices for Ajax from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-02-08 17:15:26,2014-02-14,2019-02-08
AKA,Akka Technologies (AKA),Stock Prices for Akka Technologies from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
AKE,Arkema (AKE),Stock Prices for Arkema from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:27,2014-02-14,2019-02-08
AKEDS,Arkema Ds (AKEDS),Stock Prices for Arkema Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2014-12-04 01:19:31,2014-11-20,2014-12-02
AKENV,Arkema Nv18 (AKENV),Stock Prices for Arkema Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-05-24 17:15:44,2014-02-13,2018-05-22
AKSOO,Aker Solutions (AKSOO),Stock Prices for Aker Solutions from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,2014-12-12 20:35:05,2013-01-29,2013-01-29
AKW,Akwel (AKW),Stock Prices for Akwel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-02-08 17:15:26,2018-06-05,2019-02-08
AKZA,Akzo Nobel (AKZA),Stock Prices for Akzo Nobel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-02-08 17:15:26,2014-02-14,2019-02-08
AKZAT,Akzo Nobel (AKZAT),Stock Prices for Akzo Nobel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-01-22 17:15:26,2019-01-21,2019-01-21
AL30T,Solutions 30 Se (AL30T),Stock Prices for Solutions 30 Se from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2016-07-22 15:58:28,2016-07-22,2016-07-22
ALA2M,A2micile Europe (ALA2M),Stock Prices for A2micile Europe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2018-04-20 17:15:44,2014-02-14,2018-04-20
ALABS,Adomos Bs (ALABS),Stock Prices for Adomos Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ALACI,Acces Industrie (ALACI),Stock Prices for Acces Industrie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2017-11-16 17:15:33,2014-02-13,2017-11-07
ALACR,Acropolis Telecom (ALACR),Stock Prices for Acropolis Telecom from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2016-05-03 15:58:25,2014-02-26,2016-04-28
ALACT,Actiplay (groupe) (ALACT),Stock Prices for Actiplay (groupe) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2017-03-24,2019-02-08
ALADA,Ada (ALADA),Stock Prices for Ada from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ALADM,Adthink (ALADM),Stock Prices for Adthink from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ALADO,Adomos (ALADO),Stock Prices for Adomos from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ALADS,Anevia Ds (ALADS),Stock Prices for Anevia Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2015-07-19 15:58:20,2015-07-03,2015-07-17
ALADT,Adomos (ALADT),Stock Prices for Adomos from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2017-05-09 15:58:17,2017-05-09,2017-05-09
ALAGR,Agrogeneration (ALAGR),Stock Prices for Agrogeneration from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ALALO,Acheter-louer Fr (ALALO),Stock Prices for Acheter-louer Fr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2014-02-14,2019-02-08
ALANT,Antevenio (ALANT),Stock Prices for Antevenio from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:27,2014-02-14,2019-02-08
ALANV,Anevia (ALANV),Stock Prices for Anevia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2014-05-28,2019-02-08
ALAQU,Aquila (ALAQU),Stock Prices for Aquila from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:27,2014-02-14,2019-02-07
ALARF,Adeunis (ALARF),Stock Prices for Adeunis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:26,2017-10-11,2019-02-08
ALAST,Astellia (ALAST),Stock Prices for Astellia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2018-03-07 17:15:42,2014-02-14,2018-02-23
ALATF,Artefact (ALATF),Stock Prices for Artefact from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:27,2018-02-01,2019-02-08
ALATP,Aroundtown (ALATP),Stock Prices for Aroundtown from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2017-09-13 15:58:18,2015-10-07,2017-09-13
ALAUP,Auplata (ALAUP),Stock Prices for Auplata from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:27,2014-02-14,2019-02-08
ALAVY,Audiovalley (ALAVY),Stock Prices for Audiovalley from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:27,2018-07-30,2019-02-08
ALBBS,Bionersis Bsa (ALBBS),Stock Prices for Bionersis Bsa from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2015-07-27 15:58:43,2012-11-05,2012-11-05
ALBDM,Bd Multi Media (ALBDM),Stock Prices for Bd Multi Media from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-02-08 17:15:27,2014-02-14,2019-02-08
ALBDS,Biosynex Ds (ALBDS),Stock Prices for Biosynex Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2014-12-15 17:12:20,2014-12-04,2014-12-15
ALBE,Alba (ALBE),Stock Prices for Alba from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:32:05,2011-07-29,2011-07-29
